customer_state,order_num,customer_num,total_payment,average_payment
SP,43622,40301,5998226.96,137.5
RJ,13527,12384,2144379.69,158.53
MG,12102,11259,1872257.26,154.71
RS,5668,5277,890898.54,157.18
PR,5262,4882,811156.38,154.15
SC,3754,3534,623086.43,165.98
BA,3610,3277,616645.82,170.82
DF,2204,2075,355141.08,161.13
GO,2112,1952,350092.31,165.76
ES,2107,1964,325967.55,154.71
PE,1728,1609,324850.44,187.99
CE,1398,1313,279464.03,199.9
PA,1011,949,218295.85,215.92
MT,958,876,187029.29,195.23
MA,767,726,152523.02,198.86
MS,736,694,137534.84,186.87
PB,570,519,141545.72,248.33
PI,524,482,108523.97,207.11
RN,522,474,102718.13,196.78
AL,427,401,96962.06,227.08
SE,361,342,75246.25,208.44
TO,301,273,61485.33,204.27
RO,261,240,60866.2,233.2
AM,154,143,27966.93,181.6
AC,84,77,19680.62,234.29
AP,70,67,16262.8,232.33
RR,46,45,10064.62,218.8
