customer_state,order_count,average_TT,on_time_rate
RJ,12353,14.78,0.87
SP,40495,8.21,0.94
SC,3547,14.33,0.9
MG,11355,11.44,0.94
RS,5344,14.65,0.93
PR,4923,11.39,0.95
DF,2080,12.4,0.93
GO,1957,14.92,0.92
SE,335,20.94,0.85
ES,1995,15.2,0.88
BA,3256,18.71,0.86
MT,886,17.33,0.93
PE,1593,17.88,0.89
CE,1279,20.68,0.85
RN,474,18.7,0.89
PA,946,23.13,0.88
MA,717,20.84,0.8
AL,397,23.95,0.76
PB,517,19.74,0.89
PI,476,18.89,0.84
RR,41,28.83,0.88
MS,701,15.01,0.88
RO,243,18.61,0.97
AC,80,20.29,0.96
TO,274,16.95,0.87
AM,145,25.88,0.96
AP,67,26.46,0.96
